Agency,Year,Total Ridership
Subway,2008,1623881368
Subway,2009,1579866600
Subway,2010,1604198019
Subway,2011,1640327810
Subway,2012,1654157543
Subway,2013,1707524763
NYCT Bus,2008,746813556
NYCT Bus,2009,726471592
NYCT Bus,2010,694829261
NYCT Bus,2011,665281145
NYCT Bus,2012,662247180
NYCT Bus,2013,677536911
MTA Bus,2008,121027750
MTA Bus,2009,119992505
MTA Bus,2010,119733630
MTA Bus,2011,118281292
MTA Bus,2012,119731634
MTA Bus,2013,124951185
Metro North,2008,81739667
Metro North,2009,85733300
Metro North,2010,79067578
Metro North,2011,81670880
Metro North,2012,83618886
Metro North,2013,86274509
LIRR,2008,87229679
LIRR,2009,85314822
LIRR,2010,82122104
LIRR,2011,81926287
LIRR,2012,80976682
LIRR,2013,83471105
